type,country,reports
AstraZeneca,Austria,41307
AstraZeneca,Belgium,9862
AstraZeneca,Bulgaria,2260
AstraZeneca,Croatia,1821
AstraZeneca,Cyprus,348
AstraZeneca,Czech Republic,1817
AstraZeneca,Denmark,20239
AstraZeneca,Estonia,2865
AstraZeneca,Finland,2985
AstraZeneca,France,32213
AstraZeneca,Germany,55190
AstraZeneca,Greece,2336
AstraZeneca,Hungary,2348
AstraZeneca,Iceland,1200
AstraZeneca,Ireland,6187
AstraZeneca,Italy,23412
AstraZeneca,Latvia,1140
AstraZeneca,Lithuania,2316
AstraZeneca,Luxembourg,332
AstraZeneca,Malta,538
AstraZeneca,Netherlands,38105
AstraZeneca,Northern Ireland (UK),3002
AstraZeneca,Norway,9650
AstraZeneca,Poland,14876
AstraZeneca,Portugal,9851
AstraZeneca,Romania,6691
AstraZeneca,Slovakia,2782
AstraZeneca,Slovenia,3655
AstraZeneca,Spain,18179
AstraZeneca,Sweden,25392
AstraZeneca,United Kingdom,15
Janssen,Austria,11218
Janssen,Belgium,1804
Janssen,Bulgaria,167
Janssen,Croatia,430
Janssen,Cyprus,24
Janssen,Czech Republic,561
Janssen,Denmark,495
Janssen,Estonia,392
Janssen,Finland,13
Janssen,France,1845
Janssen,Germany,12295
Janssen,Greece,696
Janssen,Hungary,162
Janssen,Iceland,1460
Janssen,Ireland,595
Janssen,Italy,1680
Janssen,Latvia,439
Janssen,Lithuania,536
Janssen,Luxembourg,91
Janssen,Malta,20
Janssen,Netherlands,15140
Janssen,Norway,54
Janssen,Poland,2843
Janssen,Portugal,2964
Janssen,Romania,941
Janssen,Slovakia,277
Janssen,Slovenia,653
Janssen,Spain,2478
Janssen,Sweden,9
Moderna,Austria,11350
Moderna,Belgium,7348
Moderna,Bulgaria,412
Moderna,Croatia,834
Moderna,Cyprus,339
Moderna,Czech Republic,1645
Moderna,Denmark,8854
Moderna,Estonia,636
Moderna,Finland,5676
Moderna,France,34904
Moderna,Germany,66723
Moderna,Greece,1365
Moderna,Hungary,529
Moderna,Iceland,874
Moderna,Ireland,2342
Moderna,Italy,20161
Moderna,Latvia,729
Moderna,Liechtenstein,7
Moderna,Lithuania,665
Moderna,Luxembourg,320
Moderna,Malta,50
Moderna,Netherlands,53769
Moderna,Northern Ireland (UK),439
Moderna,Norway,16817
Moderna,Poland,4219
Moderna,Portugal,4830
Moderna,Romania,2814
Moderna,Slovakia,1100
Moderna,Slovenia,690
Moderna,Spain,22415
Moderna,Sweden,24812
Novavax,Austria,51
Novavax,Belgium,15
Novavax,Czech Republic,13
Novavax,Finland,27
Novavax,France,126
Novavax,Germany,1014
Novavax,Greece,18
Novavax,Ireland,7
Novavax,Italy,160
Novavax,Luxembourg,4
Novavax,Netherlands,67
Novavax,Norway,14
Novavax,Poland,27
Novavax,Slovakia,7
Novavax,Spain,4
Novavax,Sweden,55
Pfizer,Austria,108280
Pfizer,Belgium,24821
Pfizer,Bulgaria,1123
Pfizer,Croatia,4125
Pfizer,Cyprus,851
Pfizer,Czech Republic,13158
Pfizer,Denmark,35095
Pfizer,Estonia,3272
Pfizer,Finland,19842
Pfizer,France,134587
Pfizer,Germany,225253
Pfizer,Greece,10601
Pfizer,Hungary,3829
Pfizer,Iceland,2901
Pfizer,Ireland,11233
Pfizer,Italy,88486
Pfizer,Latvia,1646
Pfizer,Liechtenstein,10
Pfizer,Lithuania,4266
Pfizer,Luxembourg,1824
Pfizer,Malta,268
Pfizer,Netherlands,130060
Pfizer,Northern Ireland (UK),3304
Pfizer,Norway,38286
Pfizer,Poland,18072
Pfizer,Portugal,27979
Pfizer,Romania,13791
Pfizer,Slovakia,4805
Pfizer,Slovenia,6438
Pfizer,Spain,51603
Pfizer,Sweden,64674
Pfizer,United Kingdom,2292
