year,age,dead,pop
2023,0,1326,757000
2023,1,215,797000
2023,2,132,828000
2023,3,112,835000
2023,4,97,871000
2023,5,73,915000
2023,6,72,939000
2023,7,63,979000
2023,8,72,1004000
2023,9,60,1002000
2023,10,59,1027000
2023,11,78,1030000
2023,12,72,1056000
2023,13,127,1065000
2023,14,134,1070000
2023,15,174,1090000
2023,16,216,1084000
2023,17,250,1075000
2023,18,299,1089000
2023,19,356,1156000
2023,20,385,1176000
2023,21,449,1227000
2023,22,441,1269000
2023,23,424,1285000
2023,24,466,1280000
2023,25,499,1300000
2023,26,441,1294000
2023,27,464,1291000
2023,28,473,1302000
2023,29,467,1293000
2023,30,517,1262000
2023,31,519,1270000
2023,32,513,1260000
2023,33,554,1283000
2023,34,725,1304000
2023,35,706,1342000
2023,36,818,1376000
2023,37,863,1394000
2023,38,934,1444000
2023,39,1107,1492000
2023,40,1196,1511000
2023,41,1265,1512000
2023,42,1373,1523000
2023,43,1533,1590000
2023,44,1681,1629000
2023,45,1960,1689000
2023,46,2256,1733000
2023,47,2564,1814000
2023,48,2934,1887000
2023,49,3436,1993000
2023,50,3891,2026000
2023,51,4259,1988000
2023,52,4378,1930000
2023,53,4718,1869000
2023,54,5197,1837000
2023,55,5404,1791000
2023,56,5293,1784000
2023,57,5418,1391000
2023,58,6455,1711000
2023,59,6767,1601000
2023,60,7063,1558000
2023,61,7565,1505000
2023,62,8224,1471000
2023,63,9003,1476000
2023,64,10112,1498000
2023,65,10508,1451000
2023,66,11462,1405000
2023,67,12900,1469000
2023,68,14583,1508000
2023,69,16484,1499000
2023,70,19132,1580000
2023,71,22089,1656000
2023,72,26035,1737000
2023,73,30941,1845000
2023,74,35536,1999000
2023,75,38994,1952000
2023,76,36308,1825000
2023,77,26579,1116000
2023,78,33413,1175000
2023,79,42958,1405000
2023,80,44704,1327000
2023,81,50259,1326000
2023,82,52241,1247000
2023,83,51092,1090000
2023,84,49770,905000
2023,85,59647,916000
2023,86,62579,886000
2023,87,67146,827000
2023,88,65912,725000
2023,89,65590,624000
2023,90,67989,562000
2023,91,64647,483000
2023,92,61531,405000
2023,93,55450,327000
2023,94,51317,268000
2023,95,44699,214000
2023,96,38462,148000
2023,97,31887,110000
2023,98,24691,75000
2023,99,18385,50000
2023,100,39948,87000
