year,sex,born
1995,F,1903234
1995,M,1996355
1996,F,1901014
1996,M,1990480
1997,F,1895298
1997,M,1985596
1998,F,1925348
1998,M,2016205
1999,F,1932563
1999,M,2026854
2000,F,1981845
2000,M,2076969
2001,F,1968011
2001,M,2057922
2002,F,1963747
2002,M,2057979
2003,F,1996415
2003,M,2093535
2004,F,2007391
2004,M,2104661
2005,F,2019367
2005,M,2118982
2006,F,2081318
2006,M,2184237
2007,F,2108162
2007,M,2208071
2008,F,2074305
2008,M,2173389
2009,F,2016809
2009,M,2113856
2010,F,1952451
2010,M,2046935
2011,F,1929538
2011,M,2024052
2012,F,1931407
2012,M,2021434
2013,F,1919227
2013,M,2012954
2014,F,1947375
2014,M,2040701
2015,F,1942336
2015,M,2036161
2016,F,1927692
2016,M,2018183
2017,F,1882615
2017,M,1972885
2018,F,1853533
2018,M,1938179
2019,F,1830094
2019,M,1917446
2020,F,1765555
2020,M,1848092
2021,F,1790876
2021,M,1873416
2022,F,1793312
2022,M,1874446
2023,F,1756223
2023,M,1839794
2024,F,1769662
2024,M,1848605
2025,F,1017434
2025,M,1065350
