cause,year,quarter,region,dead
mcod,2020,1,Northeast,39
mcod,2020,1,Midwest,53
mcod,2020,1,South,137
mcod,2020,1,West,53
mcod,2020,2,Northeast,63
mcod,2020,2,Midwest,61
mcod,2020,2,South,181
mcod,2020,2,West,53
mcod,2020,3,Northeast,30
mcod,2020,3,Midwest,69
mcod,2020,3,South,196
mcod,2020,3,West,67
mcod,2020,4,Northeast,38
mcod,2020,4,Midwest,83
mcod,2020,4,South,145
mcod,2020,4,West,58
mcod,2021,1,Northeast,46
mcod,2021,1,Midwest,65
mcod,2021,1,South,182
mcod,2021,1,West,53
mcod,2021,2,Northeast,49
mcod,2021,2,Midwest,69
mcod,2021,2,South,156
mcod,2021,2,West,65
mcod,2021,3,Northeast,47
mcod,2021,3,Midwest,83
mcod,2021,3,South,368
mcod,2021,3,West,82
mcod,2021,4,Northeast,73
mcod,2021,4,Midwest,107
mcod,2021,4,South,213
mcod,2021,4,West,82
mcod,2022,1,Northeast,53
mcod,2022,1,Midwest,79
mcod,2022,1,South,194
mcod,2022,1,West,57
mcod,2022,2,Northeast,46
mcod,2022,2,Midwest,52
mcod,2022,2,South,148
mcod,2022,2,West,42
mcod,2022,3,Northeast,64
mcod,2022,3,Midwest,65
mcod,2022,3,South,130
mcod,2022,3,West,48
mcod,2022,4,Northeast,45
mcod,2022,4,Midwest,63
mcod,2022,4,South,151
mcod,2022,4,West,57
mcod,2023,1,Northeast,33
mcod,2023,1,Midwest,61
mcod,2023,1,South,134
mcod,2023,1,West,46
mcod,2023,2,Northeast,24
mcod,2023,2,Midwest,47
mcod,2023,2,South,132
mcod,2023,2,West,46
mcod,2023,3,Northeast,39
mcod,2023,3,Midwest,58
mcod,2023,3,South,136
mcod,2023,3,West,27
mcod,2023,4,Northeast,37
mcod,2023,4,Midwest,44
mcod,2023,4,South,142
mcod,2023,4,West,53
ucod,2020,1,Northeast,39
ucod,2020,1,Midwest,51
ucod,2020,1,South,130
ucod,2020,1,West,51
ucod,2020,2,Northeast,63
ucod,2020,2,Midwest,57
ucod,2020,2,South,180
ucod,2020,2,West,51
ucod,2020,3,Northeast,29
ucod,2020,3,Midwest,66
ucod,2020,3,South,191
ucod,2020,3,West,64
ucod,2020,4,Northeast,38
ucod,2020,4,Midwest,82
ucod,2020,4,South,138
ucod,2020,4,West,58
ucod,2021,1,Northeast,46
ucod,2021,1,Midwest,62
ucod,2021,1,South,177
ucod,2021,1,West,48
ucod,2021,2,Northeast,49
ucod,2021,2,Midwest,64
ucod,2021,2,South,154
ucod,2021,2,West,60
ucod,2021,3,Northeast,47
ucod,2021,3,Midwest,79
ucod,2021,3,South,361
ucod,2021,3,West,77
ucod,2021,4,Northeast,73
ucod,2021,4,Midwest,104
ucod,2021,4,South,208
ucod,2021,4,West,78
ucod,2022,1,Northeast,51
ucod,2022,1,Midwest,79
ucod,2022,1,South,190
ucod,2022,1,West,57
ucod,2022,2,Northeast,46
ucod,2022,2,Midwest,52
ucod,2022,2,South,142
ucod,2022,2,West,42
ucod,2022,3,Northeast,63
ucod,2022,3,Midwest,64
ucod,2022,3,South,125
ucod,2022,3,West,44
ucod,2022,4,Northeast,44
ucod,2022,4,Midwest,61
ucod,2022,4,South,150
ucod,2022,4,West,54
ucod,2023,1,Northeast,31
ucod,2023,1,Midwest,59
ucod,2023,1,South,130
ucod,2023,1,West,42
ucod,2023,2,Northeast,24
ucod,2023,2,Midwest,43
ucod,2023,2,South,125
ucod,2023,2,West,41
ucod,2023,3,Northeast,39
ucod,2023,3,Midwest,54
ucod,2023,3,South,129
ucod,2023,3,West,23
ucod,2023,4,Northeast,35
ucod,2023,4,Midwest,39
ucod,2023,4,South,137
ucod,2023,4,West,52
